"","Year","Jan.","Feb.","March","April","May","June","July","Aug.","Sept.","Oct.","Nov.","Dec.","X","X.1","X.2","X.3"
"1","1966","2/8","3/8","4/5","5/6","6/6","7/11","8/8","9/2","10/10","11/4","12/2","1/9/67",NA,NA,NA,NA
"2","1967","2/9","3/16","4/11","5/9","6/5","7/11","8/8","9/6","10/11","11/7","12/13","1/10/68",NA,NA,NA,NA
"3","1968","2/7","3/12","4/10","5/8","6/12","7/10","8/7","9/11","10/9","11/6","12/11","1/9/69",NA,NA,NA,NA
"4","1969","2/11","3/10","4/8","5/5","6/9","7/8","8/4","9/8","10/6","11/7","12/5","1/9/70",NA,NA,NA,NA
"5","1970","2/6","3/6","4/10","5/8","6/5","7/2","8/7","9/4","10/2","11/6","12/4","1/8/71",NA,NA,NA,NA
"6","1971","2/5","3/5","4/2","5/7","6/4","7/2","8/6","9/3","10/8","11/5","12/3","1/7/72",NA,NA,NA,NA
"7","1972","2/4","3/3","4/7","5/5","6/2","7/7","8/4","9/1","10/6","11/3","12/8","1/5/73",NA,NA,NA,NA
"8","1973","2/2","3/9","4/6","5/4","6/1","7/6","8/3","9/7","10/5","11/2","12/7","1/4/74",NA,NA,NA,NA
"9","1974","2/1","3/8","4/5","5/3","6/7","7/5","8/2","9/6","10/4","11/1","12/6","1/3/75",NA,NA,NA,NA
"10","1975","2/7","3/7","4/4","5/2","6/6","7/3","8/1","9/5","10/3","11/7","12/5","1/9/76",NA,NA,NA,NA
"11","1976","2/6","3/5","4/2","5/7","6/4","7/2","8/6","9/3","10/8","11/5","12/3","1/12/77",NA,NA,NA,NA
"12","1977","2/4","3/4","4/1","5/6","6/3","7/8","8/5","9/2","10/7","11/4","12/2","1/11/78",NA,NA,NA,NA
"13","1978","2/3","3/10","4/7","5/5","6/2","7/7","8/4","9/1","10/6","11/3","12/8","1/12/79",NA,NA,NA,NA
"14","1979","2/2","3/9","4/6","5/4","6/1","7/6","8/3","9/7","10/5","11/2","12/7","1/11/80",NA,NA,NA,NA
"15","1980","2/1","3/7","4/4","5/2","6/6","7/3","8/1","9/5","10/3","11/7","12/5","1/9/81",NA,NA,NA,NA
"16","1981","2/6","3/6","4/3","5/8","6/5","7/2","8/7","9/4","10/2","11/6","12/4","1/8/82",NA,NA,NA,NA
"17","1982","2/5","3/5","4/2","5/7","6/4","7/2","8/6","9/3","10/8","11/5","12/3","1/7/83",NA,NA,NA,NA
"18","1983","2/4","3/4","4/1","5/6","6/3","7/8","8/5","9/2","10/7","11/4","12/2","1/6/84",NA,NA,NA,NA
"19","1984","2/3","3/9","4/6","5/4","6/1","7/6","8/3","9/7","10/5","11/2","12/7","1/9/85",NA,NA,NA,NA
"20","1985","2/1","3/8","4/5","5/3","6/7","7/5","8/2","9/6","10/4","11/1","12/6","1/8/86",NA,NA,NA,NA
"21","1986","2/7","3/7","4/4","5/2","6/6","7/3","8/1","9/5","10/3","11/7","12/5","1/9/87",NA,NA,NA,NA
"22","1987","2/6","3/6","4/3","5/8","6/5","7/2","8/7","9/4","10/2","11/6","12/4","1/8/88",NA,NA,NA,NA
"23","1988","2/5","3/4","4/1","5/6","6/3","7/8","8/5","9/2","10/7","11/4","12/2","1/6/89",NA,NA,NA,NA
"24","1989","2/3","3/10","4/7","5/5","6/2","7/7","8/4","9/1","10/6","11/3","12/8","1/5/90",NA,NA,NA,NA
"25","1990","2/2","3/9","4/6","5/4","6/1","7/6","8/3","9/7","10/5","11/2","12/7","1/4/91",NA,NA,NA,NA
"26","1991","2/1","3/8","4/5","5/3","6/7","7/5","8/2","9/6","10/4","11/1","12/6","1/10/92",NA,NA,NA,NA
"27","1992","2/7","3/6","4/3","5/8","6/5","7/2","8/7","9/4","10/2","11/6","12/4","1/8/93",NA,NA,NA,NA
"28","1993","2/5","3/5","4/2","5/7","6/4","7/2","8/6","9/3","10/8","11/5","12/3","1/7/94",NA,NA,NA,NA
"29","1994","2/4","3/4","4/1","5/6","6/3","7/8","8/5","9/2","10/7","11/4","12/2","1/6/95",NA,NA,NA,NA
"30","1995","2/3","3/10","4/7","5/5","6/2","7/7","8/4","9/1","10/6","11/3","12/8","1/19/96*",NA,NA,NA,NA
"31","1996","2/2","3/8","4/5","5/3","6/7","7/5","8/2","9/6","10/4","11/1","12/6","1/10/97",NA,NA,NA,NA
"32","1997","2/7","3/7","4/4","5/2","6/6","7/3","8/1","9/5","10/3","11/7","12/5","1/9/98",NA,NA,NA,NA
"33","1998","2/6","3/6","4/3","5/8","6/5","7/2","8/7","9/4","10/2","11/5/98**","12/4","1/8/99",NA,NA,NA,NA
"34","1999","2/5","3/5","4/2","5/7","6/4","7/2","8/6","9/3","10/8","11/5","12/3","1/7/00",NA,NA,NA,NA
"35","2000","2/4","3/3","4/7","5/5","6/2","7/7","8/4","9/1","10/6","11/3","12/8","1/5/01",NA,NA,NA,NA
"36","2001","2/2","3/9","4/6","5/4","6/1","7/6","8/3","9/7","10/5","11/2","12/7","1/4/02",NA,NA,NA,NA
"37","2002","2/1","3/8","4/5","5/3","6/7","7/5","8/2","9/6","10/4","11/1","12/6","1/10/03",NA,NA,NA,NA
"38","2003","2/7","3/7","4/4","5/2","6/6","7/3","8/1","9/5","10/3","11/7","12/5","1/9/04",NA,NA,NA,NA
"39","2004","2/6","3/5","4/2","5/7","6/4","7/2","8/6","9/3","10/8","11/5","12/3","1/7/05",NA,NA,NA,NA
"40","2005","2/4","3/4","4/1","5/6","6/3","7/8","8/5","9/2","10/7","11/4","12/2","1/6/06",NA,NA,NA,NA
"41","2006","2/3","3/10","4/7","5/5","6/2","7/7","8/4","9/1","10/6","11/3","12/8","1/5/07",NA,NA,NA,NA
"42","2007","2/2","3/9","4/6","5/4","6/1","7/6","8/3","9/7","10/5","11/2","12/7","1/4/08",NA,NA,NA,NA
"43","2008","2/1","3/7","4/4","5/2","6/6","7/3","8/1","9/5","10/3","11/7","12/5","1/9/09",NA,NA,NA,NA
"44","2009","2/6","3/6","4/3","5/8","6/5","7/2","8/7","9/4","10/2","11/6","12/4","1/8/10",NA,NA,NA,NA
"45","2010","2/5","3/5","4/2","5/7","6/4","7/2","8/6","9/3","10/8","11/5","12/3","1/7/11",NA,NA,NA,NA
"46","2011","2/4","3/4","4/1","5/6","6/3","7/8","8/5","9/2","10/7","11/4","12/2","1/6/12",NA,NA,NA,NA
"47","2012","2/3","3/9","4/6","5/4","6/1","7/6","8/3","9/7","10/5","11/2","12/7","",NA,NA,NA,NA
"48","* Delayed due to government shutdown and weather-related closing.  The estimates for December 1995 originally were ","","","","","","","","","","","","",NA,NA,NA,NA
"49","scheduled for release on Friday, January 5, 1996, but the release was delayed 2 weeks.  The main reason for the delay ","","","","","","","","","","","","",NA,NA,NA,NA
"50","was that many Federal agencies, including BLS and the Census Bureau, were closed because their fiscal year ","","","","","","","","","","","","",NA,NA,NA,NA
"51","appropriations bills had not been passed by Congress and signed by the President.","","","","","","","","","","","","",NA,NA,NA,NA
"52","** Premature release.  The estimates for October 1998 originally were scheduled to be released at 8:30 AM EST on Friday, ","","","","","","","","","","","","",NA,NA,NA,NA
"53","November 6.  Some estimates of nonfarm payroll employment inadvertently were released prematurely on the Internet, so ","","","","","","","","","","","","",NA,NA,NA,NA
"54","the schedule was revised and the Employment Situation report was released officially at 1:30 PM EST on Thursday, ","","","","","","","","","","","","",NA,NA,NA,NA
"55","November 5.  ","","","","","","","","","","","","",NA,NA,NA,NA
"56","NOTE:  Beginning with the release of January 1966 data on 2/8/66, the first reporting of data from the household and ","","","","","","","","","","","","",NA,NA,NA,NA
"57","establishment surveys occurred together in the Employment Situation.  Prior to that time, summary information from the ","","","","","","","","","","","","",NA,NA,NA,NA
"58","household survey, including the unemployment rate, were released about a week before the establishment survey data.  ","","","","","","","","","","","","",NA,NA,NA,NA
"59","Information for 2012 is tentative.  ","","","","","","","","","","","","",NA,NA,NA,NA
"60","SOURCE:  Bureau of Labor Statistics","","","","","","","","","","","","",NA,NA,NA,NA
